review_id,review_text
1,A couple of Computer Science units were poorly coordinated across different tutors. Some Computer Science modules felt outdated and there was too much overlap between units. There were enough online resources that I rarely needed to buy textbooks.
2,"I had to chase staff a few times to get my issue sorted. I had to chase staff a few times to get my issue sorted. Library staff were helpful, especially with referencing and databases."
3,The Computer Science modules were well-structured and the options let me specialise in software engineering. Printers were often broken when lots of people needed them. Some key books were always checked out when deadlines approached.
4,The campus facilities are modern and there are plenty of places to work between classes. There were enough online resources that I rarely needed to buy textbooks. Not all staff were consistent about deadlines and expectations. Some Business modules felt outdated and there was too much overlap between units. Some Sport Science modules felt outdated and there was too much overlap between units.
5,Accommodation felt secure and was decent value for what you get. A couple of clubs felt cliquey and I didn’t always feel included. Not all staff were consistent about deadlines and expectations. I liked the local area and it felt safe walking back after evening sessions. The location was a big plus: a busy city with good transport links. A couple of Data Science units were poorly coordinated across different tutors.
6,There wasn’t much to do on weeknights unless you travelled further out. The location felt a bit remote and buses stopped too early. Printers were often broken when lots of people needed them. My studio accommodation was clean and the common areas were well looked after. Accommodation felt secure and was decent value for what you get. Most staff were friendly and genuinely wanted students to do well.
7,"A few lectures felt rushed and the recordings were inconsistent. My private student housing was clean and the common areas were well looked after. The location felt a bit remote and buses stopped too early. Library staff were helpful, especially with referencing and databases."
8,Sports facilities were a highlight and helped with my routine. Some Sport Science modules felt outdated and there was too much overlap between units. A couple of Business units were poorly coordinated across different tutors. Societies were great and I made friends through the Chess society. There were enough online resources that I rarely needed to buy textbooks.
9,"The walls in my a shared house were thin, so noise travelled late at night. Joining societies helped a lot with settling in. Societies were great and I made friends through the Hiking society."
10,"A few study areas were noisy, especially near the café. Printing and Wi-Fi were unreliable at the worst possible times. Some key books were always checked out when deadlines approached. Printers were often broken when lots of people needed them. Admin emails sometimes took ages to get a clear response. Lab sessions were well run and I rarely felt stuck for long."
11,Support from staff during assessment weeks was really helpful. Printers were often broken when lots of people needed them. Some key books were always checked out when deadlines approached.
12,Printers were often broken when lots of people needed them. Printers were often broken when lots of people needed them. Maintenance requests were handled quickly in my studio accommodation. Joining societies helped a lot with settling in. Joining societies helped a lot with settling in. Printing and Wi-Fi were unreliable at the worst possible times.
13,There wasn’t much to do on weeknights unless you travelled further out. Joining societies helped a lot with settling in. Some Data Science modules felt outdated and there was too much overlap between units. Not all staff were consistent about deadlines and expectations.
14,The location felt a bit remote and buses stopped too early. Lab sessions were well run and I rarely felt stuck for long. My a shared house was clean and the common areas were well looked after. A couple of Mathematics units were poorly coordinated across different tutors. Societies were great and I made friends through the Drama society.
15,"The examples in class made concepts click for me. Seminars were interactive and the lecturers explained tricky ideas clearly. A few study areas were noisy, especially near the café. There wasn’t much to do on weeknights unless you travelled further out."
16,"The workload on Mathematics spiked around deadlines and it was hard to plan around it. My private student housing was clean and the common areas were well looked after. There were enough online resources that I rarely needed to buy textbooks. The gym gets overcrowded and some buildings could do with refurbishment. Some sessions assumed knowledge we hadn’t covered, which made it stressful."
17,I liked how the Sport Science course built up skills gradually across the year. I liked how the Computer Science course built up skills gradually across the year. I had to chase staff a few times to get my issue sorted.
18,"Maintenance requests were handled quickly in my halls. Printers were often broken when lots of people needed them. Some sessions assumed knowledge we hadn’t covered, which made it stressful. Printing and Wi-Fi were unreliable at the worst possible times."
19,The location was a big plus: a campus near the countryside with good transport links. Printing and Wi-Fi were unreliable at the worst possible times. A couple of clubs felt cliquey and I didn’t always feel included.
20,"There were enough online resources that I rarely needed to buy textbooks. Overall the Data Science content felt relevant, and the projects improved my confidence. The walls in my halls were thin, so noise travelled late at night. The walls in my studio accommodation were thin, so noise travelled late at night."
21,"Support from staff during assessment weeks was really helpful. My tutor was approachable and replies were quick when I needed advice. Overall the Mathematics content felt relevant, and the projects improved my confidence. Kitchen cleanliness was a constant battle in shared accommodation. The gym gets overcrowded and some buildings could do with refurbishment. A few study areas were noisy, especially near the café."
22,Events sometimes clashed with assessment deadlines. There were enough online resources that I rarely needed to buy textbooks. Most staff were friendly and genuinely wanted students to do well. Most staff were friendly and genuinely wanted students to do well.
23,"Feedback on teaching varied a lot depending on the module leader. There was a good range of clubs and events made first term feel welcoming. Overall the Mathematics content felt relevant, and the projects improved my confidence. The labs had decent computers and the teaching rooms were comfortable. Most staff were friendly and genuinely wanted students to do well. Most staff were friendly and genuinely wanted students to do well."
24,Sports facilities were a highlight and helped with my routine. Admin emails sometimes took ages to get a clear response.
25,"A few lectures felt rushed and the recordings were inconsistent. Printers were often broken when lots of people needed them. Kitchen cleanliness was a constant battle in shared accommodation. A few study areas were noisy, especially near the café. Support from staff during assessment weeks was really helpful."
26,Some key books were always checked out when deadlines approached. Accommodation felt secure and was decent value for what you get.
27,"I had to chase staff a few times to get my issue sorted. I liked how the Computer Science course built up skills gradually across the year. A few study areas were noisy, especially near the café. A few study areas were noisy, especially near the café. The walls in my private student housing were thin, so noise travelled late at night. Events sometimes clashed with assessment deadlines."
28,"Overall the Sport Science content felt relevant, and the projects improved my confidence. I liked the local area and it felt safe walking back after evening sessions. Most things are within walking distance and the campus is easy to navigate. Printing and Wi-Fi were unreliable at the worst possible times. Admin emails sometimes took ages to get a clear response."
29,The examples in class made concepts click for me. Lab sessions were well run and I rarely felt stuck for long. Printers were often broken when lots of people needed them. There wasn’t much to do on weeknights unless you travelled further out.
30,Getting home at weekends could be awkward depending on transport. The Psychology modules were well-structured and the options let me specialise in AI. I liked how the Psychology course built up skills gradually across the year.
31,A couple of Data Science units were poorly coordinated across different tutors. A couple of Sport Science units were poorly coordinated across different tutors. Maintenance requests were handled quickly in my private student housing. My tutor was approachable and replies were quick when I needed advice.
32,"Joining societies helped a lot with settling in. Seminars were interactive and the lecturers explained tricky ideas clearly. The Computer Science modules were well-structured and the options let me specialise in machine learning. The gym gets overcrowded and some buildings could do with refurbishment. There were enough online resources that I rarely needed to buy textbooks. Library staff were helpful, especially with referencing and databases."
33,"There was a good range of clubs and events made first term feel welcoming. A few study areas were noisy, especially near the café."
34,Getting home at weekends could be awkward depending on transport. A couple of clubs felt cliquey and I didn’t always feel included. Accommodation felt secure and was decent value for what you get. My tutor was approachable and replies were quick when I needed advice. Support from staff during assessment weeks was really helpful.
35,The location felt a bit remote and buses stopped too early. Kitchen cleanliness was a constant battle in shared accommodation. Some key books were always checked out when deadlines approached. I liked how the Mathematics course built up skills gradually across the year. The Business modules were well-structured and the options let me specialise in machine learning.
36,The examples in class made concepts click for me. In exam season it was hard to find a seat in the library.
37,"Getting home at weekends could be awkward depending on transport. The location felt a bit remote and buses stopped too early. The campus facilities are modern and there are plenty of places to work between classes. Joining societies helped a lot with settling in. Joining societies helped a lot with settling in. The walls in my a shared house were thin, so noise travelled late at night. Some key books were always checked out when deadlines approached."
38,The workload on Business spiked around deadlines and it was hard to plan around it. My tutor was approachable and replies were quick when I needed advice. Most staff were friendly and genuinely wanted students to do well. A few lectures felt rushed and the recordings were inconsistent. Feedback on teaching varied a lot depending on the module leader. Societies were great and I made friends through the Netball society. There was a good range of clubs and events made first term feel welcoming. The labs had decent computers and the teaching rooms were comfortable. Sports facilities were a highlight and helped with my routine.
39,"The walls in my private student housing were thin, so noise travelled late at night. There was a good range of clubs and events made first term feel welcoming. A few lectures felt rushed and the recordings were inconsistent. Feedback on teaching varied a lot depending on the module leader. The Mathematics modules were well-structured and the options let me specialise in statistics."
40,The location was a big plus: a busy city with good transport links. In exam season it was hard to find a seat in the library. Not all staff were consistent about deadlines and expectations. Lab sessions were well run and I rarely felt stuck for long. The examples in class made concepts click for me.
41,Sports facilities were a highlight and helped with my routine. Some societies were hard to join if you missed the first meeting. A few lectures felt rushed and the recordings were inconsistent. Admin emails sometimes took ages to get a clear response. Maintenance took weeks for simple fixes in my private student housing.
42,Printers were often broken when lots of people needed them. Some key books were always checked out when deadlines approached. I liked how the Sport Science course built up skills gradually across the year.
43,There was a good range of clubs and events made first term feel welcoming. There was a good range of clubs and events made first term feel welcoming. A couple of Computer Science units were poorly coordinated across different tutors. The workload on Psychology spiked around deadlines and it was hard to plan around it. There wasn’t much to do on weeknights unless you travelled further out.
44,The workload on Sport Science spiked around deadlines and it was hard to plan around it. My tutor was approachable and replies were quick when I needed advice. Support from staff during assessment weeks was really helpful. Some societies were hard to join if you missed the first meeting.
45,In exam season it was hard to find a seat in the library. Sports facilities were a highlight and helped with my routine.
46,"Some sessions assumed knowledge we hadn’t covered, which made it stressful. Some Computer Science modules felt outdated and there was too much overlap between units. Admin emails sometimes took ages to get a clear response. There were enough online resources that I rarely needed to buy textbooks. There were enough online resources that I rarely needed to buy textbooks."
47,In exam season it was hard to find a seat in the library. Printers were often broken when lots of people needed them. The campus facilities are modern and there are plenty of places to work between classes. Sports facilities were a highlight and helped with my routine. My tutor was approachable and replies were quick when I needed advice.
48,Sports facilities were a highlight and helped with my routine. The campus facilities are modern and there are plenty of places to work between classes. The location felt a bit remote and buses stopped too early.
49,Support from staff during assessment weeks was really helpful. The location was a big plus: a small coastal town with good transport links. Events sometimes clashed with assessment deadlines. Events sometimes clashed with assessment deadlines. The library opening hours were great and the quiet floor was genuinely quiet.
50,"Kitchen cleanliness was a constant battle in shared accommodation. The walls in my private student housing were thin, so noise travelled late at night. The library opening hours were great and the quiet floor was genuinely quiet."
51,"Library staff were helpful, especially with referencing and databases. A couple of clubs felt cliquey and I didn’t always feel included. Most things are within walking distance and the campus is easy to navigate."
52,A couple of clubs felt cliquey and I didn’t always feel included. Some societies were hard to join if you missed the first meeting. The labs had decent computers and the teaching rooms were comfortable. I liked how the Psychology course built up skills gradually across the year. The Psychology modules were well-structured and the options let me specialise in statistics. Some key books were always checked out when deadlines approached. In exam season it was hard to find a seat in the library. Most things are within walking distance and the campus is easy to navigate.
53,Some key books were always checked out when deadlines approached. Events sometimes clashed with assessment deadlines. Getting home at weekends could be awkward depending on transport. The location felt a bit remote and buses stopped too early. Accommodation felt secure and was decent value for what you get.
54,Most staff were friendly and genuinely wanted students to do well. A couple of clubs felt cliquey and I didn’t always feel included.
55,Joining societies helped a lot with settling in. Kitchen cleanliness was a constant battle in shared accommodation. Admin emails sometimes took ages to get a clear response.
56,Events sometimes clashed with assessment deadlines. A couple of clubs felt cliquey and I didn’t always feel included. Some key books were always checked out when deadlines approached. Printers were often broken when lots of people needed them. Sports facilities were a highlight and helped with my routine. The examples in class made concepts click for me. Maintenance requests were handled quickly in my studio accommodation.
57,Maintenance requests were handled quickly in my a shared house. Not all staff were consistent about deadlines and expectations. Seminars were interactive and the lecturers explained tricky ideas clearly.
58,"There were enough online resources that I rarely needed to buy textbooks. Some sessions assumed knowledge we hadn’t covered, which made it stressful. The workload on Mathematics spiked around deadlines and it was hard to plan around it. I had to chase staff a few times to get my issue sorted. Printing and Wi-Fi were unreliable at the worst possible times."
59,"Feedback on teaching varied a lot depending on the module leader. Overall the Computer Science content felt relevant, and the projects improved my confidence."
60,"The walls in my studio accommodation were thin, so noise travelled late at night. The library opening hours were great and the quiet floor was genuinely quiet."
61,"Getting home at weekends could be awkward depending on transport. Getting home at weekends could be awkward depending on transport. Some sessions assumed knowledge we hadn’t covered, which made it stressful. Maintenance took weeks for simple fixes in my halls. Kitchen cleanliness was a constant battle in shared accommodation. Sports facilities were a highlight and helped with my routine. The labs had decent computers and the teaching rooms were comfortable."
62,"Printing and Wi-Fi were unreliable at the worst possible times. Getting home at weekends could be awkward depending on transport. There wasn’t much to do on weeknights unless you travelled further out. Library staff were helpful, especially with referencing and databases. Events sometimes clashed with assessment deadlines."
63,I liked the local area and it felt safe walking back after evening sessions. Feedback on teaching varied a lot depending on the module leader. Most staff were friendly and genuinely wanted students to do well.
64,"The labs had decent computers and the teaching rooms were comfortable. Some key books were always checked out when deadlines approached. Printers were often broken when lots of people needed them. Events sometimes clashed with assessment deadlines. A few lectures felt rushed and the recordings were inconsistent. Some sessions assumed knowledge we hadn’t covered, which made it stressful. Maintenance took weeks for simple fixes in my halls."
65,Lab sessions were well run and I rarely felt stuck for long. Lab sessions were well run and I rarely felt stuck for long. Getting home at weekends could be awkward depending on transport. Getting home at weekends could be awkward depending on transport.
66,Most staff were friendly and genuinely wanted students to do well. Feedback on teaching varied a lot depending on the module leader.
67,"I liked the local area and it felt safe walking back after evening sessions. Sports facilities were a highlight and helped with my routine. There was a good range of clubs and events made first term feel welcoming. The walls in my a shared house were thin, so noise travelled late at night. The walls in my studio accommodation were thin, so noise travelled late at night. Some Sport Science modules felt outdated and there was too much overlap between units."
68,"Most things are within walking distance and the campus is easy to navigate. Some sessions assumed knowledge we hadn’t covered, which made it stressful."
69,"The location felt a bit remote and buses stopped too early. There wasn’t much to do on weeknights unless you travelled further out. Overall the Computer Science content felt relevant, and the projects improved my confidence. Joining societies helped a lot with settling in."
70,A few lectures felt rushed and the recordings were inconsistent. There was a good range of clubs and events made first term feel welcoming. Societies were great and I made friends through the Robotics society. There wasn’t much to do on weeknights unless you travelled further out. I had to chase staff a few times to get my issue sorted. I had to chase staff a few times to get my issue sorted.
71,Maintenance took weeks for simple fixes in my a shared house. I had to chase staff a few times to get my issue sorted. The examples in class made concepts click for me.
72,Kitchen cleanliness was a constant battle in shared accommodation. The examples in class made concepts click for me. Printers were often broken when lots of people needed them. I had to chase staff a few times to get my issue sorted. Most things are within walking distance and the campus is easy to navigate.
73,"The walls in my a shared house were thin, so noise travelled late at night. The location was a big plus: a campus near the countryside with good transport links. Some key books were always checked out when deadlines approached. Societies were great and I made friends through the Hiking society. Feedback on teaching varied a lot depending on the module leader."
74,"My tutor was approachable and replies were quick when I needed advice. Most staff were friendly and genuinely wanted students to do well. The examples in class made concepts click for me. Printers were often broken when lots of people needed them. A few study areas were noisy, especially near the café. Some societies were hard to join if you missed the first meeting."
75,"Most staff were friendly and genuinely wanted students to do well. A few study areas were noisy, especially near the café. A few study areas were noisy, especially near the café. In exam season it was hard to find a seat in the library. There was a good range of clubs and events made first term feel welcoming. There was a good range of clubs and events made first term feel welcoming. Seminars were interactive and the lecturers explained tricky ideas clearly."
76,"Societies were great and I made friends through the Chess society. Support from staff during assessment weeks was really helpful. The workload on Computer Science spiked around deadlines and it was hard to plan around it. A few study areas were noisy, especially near the café. Printing and Wi-Fi were unreliable at the worst possible times. The library opening hours were great and the quiet floor was genuinely quiet. Library staff were helpful, especially with referencing and databases."
77,The examples in class made concepts click for me. The location felt a bit remote and buses stopped too early. Societies were great and I made friends through the Gaming society. The gym gets overcrowded and some buildings could do with refurbishment.
78,Societies were great and I made friends through the Gaming society. A couple of Data Science units were poorly coordinated across different tutors. A couple of Mathematics units were poorly coordinated across different tutors. I had to chase staff a few times to get my issue sorted. I had to chase staff a few times to get my issue sorted. Lab sessions were well run and I rarely felt stuck for long. Lab sessions were well run and I rarely felt stuck for long.
79,"The examples in class made concepts click for me. A couple of Sport Science units were poorly coordinated across different tutors. Kitchen cleanliness was a constant battle in shared accommodation. The walls in my studio accommodation were thin, so noise travelled late at night."
80,A couple of Psychology units were poorly coordinated across different tutors. My tutor was approachable and replies were quick when I needed advice. Most staff were friendly and genuinely wanted students to do well.
